Index,Arduino_CUSUM
1,4.083675384521484
2,4.644498825073242
3,5.931719779968262
4,6.878705978393555
5,7.4505391120910645
6,7.230745792388916
7,7.766397953033447
8,8.167139053344727
9,8.92995834350586
10,9.452879905700684
11,9.968780517578125
12,10.366665840148926
13,10.892024993896484
14,11.393248558044434
15,11.27280330657959
16,12.149800300598145
17,12.807772636413574
18,13.344961166381836
19,13.627914428710938
20,14.24172592163086
21,14.611329078674316
22,15.007341384887695
23,15.136289596557617
24,15.853872299194336
25,16.264102935791016
26,17.032129287719727
27,17.74356460571289
28,18.117246627807617
29,18.59367561340332
30,19.258514404296875
31,19.499189376831055
32,19.86141014099121
33,20.143678665161133
34,20.523996353149414
35,20.872365951538086
36,21.380632400512695
37,21.78467559814453
38,21.93895149230957
39,22.330759048461914
40,22.492658615112305
41,22.6018123626709
42,23.013654708862305
43,23.113788604736328
44,23.445222854614258
45,23.600566864013672
46,24.091487884521484
47,24.47077751159668
48,24.68235206604004
49,25.06629180908203
50,25.39197540283203
51,25.487577438354492
52,25.719335556030273
53,25.848432540893555
54,26.16796875
55,26.33453941345215
56,26.556503295898438
57,26.641820907592773
58,26.764556884765625
59,27.032045364379883
60,27.148700714111328
61,27.37699317932129
62,27.643465042114258
63,27.860841751098633
64,28.065019607543945
65,28.08596420288086
66,28.291324615478516
67,28.305641174316406
68,28.685739517211914
69,28.797977447509766
70,29.050378799438477
71,29.345775604248047
72,29.57703971862793
73,29.966726303100586
74,30.092905044555664
75,30.370811462402344
76,30.480493545532227
77,30.950681686401367
78,31.250497817993164
79,31.429664611816406
80,31.73680305480957
81,31.821475982666016
82,32.206932067871094
83,32.290489196777344
84,32.329620361328125
85,32.535987854003906
86,32.84096908569336
87,33.04948043823242
88,33.17521667480469
89,33.510719299316406
90,33.9774055480957
91,33.97110366821289
92,34.332340240478516
93,34.484046936035156
94,34.78914260864258
95,34.79732131958008
96,34.97003936767578
97,35.06942367553711
98,35.21739959716797
99,35.304447174072266
100,35.54008483886719
101,35.8609619140625
102,36.0059928894043
103,36.17755889892578
104,36.25948715209961
105,36.55289077758789
106,36.80126953125
107,36.83708953857422
108,37.174774169921875
109,37.24934387207031
110,37.33563995361328
111,37.38106155395508
112,37.454017639160156
113,37.60907745361328
114,37.8486328125
115,37.967559814453125
116,38.13530731201172
117,38.29465103149414
118,38.59132766723633
119,38.99209976196289
120,39.07436752319336
121,39.435794830322266
122,39.8162727355957
123,40.017730712890625
124,40.280113220214844
125,40.29779052734375
126,40.51924514770508
127,40.646907806396484
128,40.80895233154297
129,41.03584671020508
130,41.30545425415039
131,41.47627258300781
132,41.88837814331055
133,42.114322662353516
134,42.26860046386719
135,42.47987747192383
136,42.642250061035156
137,42.71626663208008
138,42.93130111694336
139,43.18476104736328
140,43.387542724609375
141,43.588645935058594
142,43.77040100097656
143,44.01155471801758
144,44.06739807128906
145,44.334049224853516
146,44.42191696166992
147,44.616432189941406
148,44.847999572753906
149,45.0328483581543
150,45.06459426879883
151,45.230812072753906
152,45.422786712646484
153,45.66925811767578
154,45.873809814453125
155,46.08411407470703
156,46.34091567993164
157,46.442955017089844
158,46.552330017089844
159,46.71206283569336
160,46.9000358581543
161,47.17513656616211
162,47.263118743896484
163,47.350433349609375
164,47.572120666503906
165,47.69750213623047
166,47.837852478027344
167,48.04426574707031
168,48.151737213134766
169,48.250308990478516
170,48.386329650878906
171,48.511322021484375
172,48.61265182495117
173,48.838233947753906
174,48.955467224121094
175,49.11606216430664
176,49.28172302246094
177,49.289886474609375
178,49.471641540527344
179,49.743446350097656
180,49.89595413208008
181,49.98880386352539
182,50.243873596191406
183,50.41664505004883
184,50.647335052490234
185,50.815731048583984
186,51.01438522338867
187,51.27647399902344
188,51.47739028930664
189,51.65616989135742
190,51.75447463989258
191,51.94824981689453
192,52.06605529785156
193,52.38023376464844
194,52.55454635620117
195,52.642494201660156
196,52.91389846801758
197,53.02683639526367
198,53.05534362792969
199,53.124595642089844
200,53.274940490722656
201,53.38980484008789
202,53.570655822753906
203,53.7001838684082
204,53.70928955078125
205,53.83430862426758
206,54.11048889160156
207,54.223670959472656
208,54.3260498046875
209,54.46261215209961
210,54.728363037109375
211,54.809635162353516
212,55.01094436645508
213,55.110721588134766
214,55.231170654296875
215,55.349510192871094
216,55.549598693847656
217,55.736854553222656
218,55.957275390625
219,56.176422119140625
220,56.47338104248047
221,56.62038803100586
222,56.58169937133789
223,56.68517303466797
224,56.77197265625
225,56.89275360107422
226,57.11564254760742
227,57.21677017211914
228,57.30118942260742
229,57.4768180847168
230,57.66672134399414
231,57.790218353271484
232,57.959373474121094
233,58.13421630859375
234,58.29967498779297
235,58.39970397949219
236,58.59046173095703
237,58.572811126708984
238,58.75461196899414
239,58.92158508300781
240,59.20167922973633
241,59.35826873779297
242,59.504146575927734
243,59.72411346435547
244,59.91204071044922
245,60.04930877685547
246,60.185279846191406
247,60.33195495605469
248,60.396446228027344
249,60.617225646972656
250,60.71749496459961
251,60.83417892456055
252,61.01710891723633
253,61.12660598754883
254,61.255889892578125
255,61.494529724121094
256,61.58782958984375
257,61.70838165283203
258,61.9441032409668
259,62.05658721923828
260,62.15495300292969
261,62.307151794433594
262,62.48272705078125
263,62.57429885864258
264,62.69983673095703
265,62.826229095458984
266,62.89713668823242
267,63.03278732299805
268,63.278099060058594
269,63.470123291015625
270,63.55609893798828
271,63.71278381347656
272,63.83018112182617
273,63.95296096801758
274,64.14301300048828
275,64.31547546386719
276,64.5085220336914
277,64.6708984375
278,64.75167083740234
279,64.85211181640625
280,64.9063949584961
281,65.07872772216797
282,65.29837036132812
283,65.32640075683594
284,65.46357727050781
285,65.6283187866211
286,65.74612426757812
287,65.82514953613281
288,65.89227294921875
289,66.10546875
290,66.22343444824219
291,66.42991638183594
292,66.51985168457031
293,66.73234558105469
294,66.89724731445312
295,67.02957916259766
296,67.23348236083984
297,67.34077453613281
298,67.44829559326172
299,67.57815551757812
300,67.70204162597656
