Index,Arduino_Value,R_Value,Difference,Abs_Difference
1,4.122827529907227,4.12282698417858,5.457286462728916e-07,5.457286462728916e-07
2,4.699882507324219,4.6998818200066115,6.873176072730303e-07,6.873176072730303e-07
3,5.99956750869751,5.999566639504337,8.691931725479662e-07,8.691931725479662e-07
4,6.957069396972656,6.957068522144663,8.748279931580782e-07,8.748279931580782e-07
5,7.538173675537109,7.538172627728422,1.0478086878151771e-06,1.0478086878151771e-06
6,7.32676887512207,7.326767537408512,1.337713558591247e-06,1.337713558591247e-06
7,7.87014102935791,7.870139886616176,1.1427417341280943e-06,1.1427417341280943e-06
8,8.27807331085205,8.278071263489714,2.04736233655467e-06,2.04736233655467e-06
9,9.047650337219238,9.047649516562839,8.206563997248395e-07,8.206563997248395e-07
10,9.576970100402832,9.57696788842765,2.211975182575543e-06,2.211975182575543e-06
11,10.098959922790527,10.098957640377588,2.282412939536016e-06,2.282412939536016e-06
12,10.502668380737305,10.502665763522224,2.617215081102131e-06,2.617215081102131e-06
13,11.03361701965332,11.033614805992094,2.2136612258805144e-06,2.2136612258805144e-06
14,11.54022216796875,11.540218863858613,3.304110137491989e-06,3.304110137491989e-06
15,11.424973487854004,11.424970887300402,2.600553601794786e-06,2.600553601794786e-06
16,12.307000160217285,12.306998231944188,1.928273096751809e-06,1.928273096751809e-06
17,12.96985149383545,12.96984940387005,2.0899653989658873e-06,2.0899653989658873e-06
18,13.511781692504883,13.511778336390144,3.3561147390059887e-06,3.3561147390059887e-06
19,13.799348831176758,13.799345959108074,2.8720686842120813e-06,2.8720686842120813e-06
20,14.417658805847168,14.417654901967403,3.903879765232432e-06,3.903879765232432e-06
21,14.79165267944336,14.791649537543075,3.1419002848309674e-06,3.1419002848309674e-06
22,15.191954612731934,15.19195170526041,2.907471523982963e-06,2.907471523982963e-06
23,15.325098991394043,15.325096398031585,2.5933624581142567e-06,2.5933624581142567e-06
24,16.046791076660156,16.046788113417747,2.9632424087822073e-06,2.9632424087822073e-06
25,16.461050033569336,16.461044812042676,5.221526659937581e-06,5.221526659937581e-06
26,17.233028411865234,17.233023483458105,4.928407129511925e-06,4.928407129511925e-06
27,17.94834327697754,17.94833817646022,5.1005173204998755e-06,5.1005173204998755e-06
28,18.325836181640625,18.32583142776352,4.753877103524928e-06,4.753877103524928e-06
29,18.80600929260254,18.80600623704505,3.055557488806926e-06,3.055557488806926e-06
30,19.474533081054688,19.474528595661127,4.485393560571538e-06,4.485393560571538e-06
31,19.718833923339844,19.71883010183566,3.821504183321167e-06,3.821504183321167e-06
32,20.084627151489258,20.08462498567443,2.165814827037593e-06,2.165814827037593e-06
33,20.37041473388672,20.370412617718962,2.116167756582854e-06,2.116167756582854e-06
34,20.754199981689453,20.7541978307669,2.15092255473337e-06,2.15092255473337e-06
35,21.105989456176758,21.105987510259364,1.945917393442187e-06,1.945917393442187e-06
36,21.617630004882812,21.61762853927854,1.4656042708338646e-06,1.4656042708338646e-06
37,22.02500343322754,22.025001255863707,2.177363832345236e-06,2.177363832345236e-06
38,22.182567596435547,22.18256746932051,1.2711503671880564e-07,1.2711503671880564e-07
39,22.57762336730957,22.57762079015931,2.57715026208416e-06,2.57715026208416e-06
40,22.74273109436035,22.74272916639234,1.927968011017356e-06,1.927968011017356e-06
41,22.855056762695312,22.85505422609783,2.5365974813951198e-06,2.5365974813951198e-06
42,23.27003288269043,23.270031816902527,1.0657879023767691e-06,1.0657879023767691e-06
43,23.373266220092773,23.37326425407658,1.966016192511688e-06,1.966016192511688e-06
44,23.7077693939209,23.70776894834112,4.455797792957128e-07,4.455797792957128e-07
45,23.866146087646484,23.866147130540295,-1.0428938104212193e-06,1.0428938104212193e-06
46,24.360071182250977,24.36006949317993,1.6890710448080881e-06,1.6890710448080881e-06
47,24.74233627319336,24.7423352878428,9.853505602563928e-07,9.853505602563928e-07
48,24.95685386657715,24.95685264043995,1.226137197107846e-06,1.226137197107846e-06
49,25.343708038330078,25.343705866478782,2.1718512961399483e-06,2.1718512961399483e-06
50,25.67228126525879,25.672278999367848,2.2658909415440576e-06,2.2658909415440576e-06
51,25.7707462310791,25.77074111116975,5.1199093498155435e-06,5.1199093498155435e-06
52,26.005340576171875,26.005337699724667,2.8764472084219506e-06,2.8764472084219506e-06
53,26.13724708557129,26.137244227084196,2.8584870932490958e-06,2.8584870932490958e-06
54,26.459569931030273,26.45956716406864,2.7669616322612e-06,2.7669616322612e-06
55,26.628904342651367,26.628899178062298,5.164589069295289e-06,5.164589069295289e-06
56,26.853607177734375,26.853603068769427,4.108964947846516e-06,4.108964947846516e-06
57,26.9416446685791,26.94164326811683,1.4004622705954262e-06,1.4004622705954262e-06
58,27.06707763671875,27.06707450356425,3.1331545002899475e-06,3.1331545002899475e-06
59,27.33724021911621,27.33723658962952,3.62948669163643e-06,3.62948669163643e-06
60,27.45655059814453,27.456546922587297,3.6755572345725795e-06,3.6755572345725795e-06
61,27.687477111816406,27.687471937773715,5.1740426911806026e-06,5.1740426911806026e-06
62,27.956565856933594,27.956562851211725,3.0057218687318255e-06,3.0057218687318255e-06
63,28.176538467407227,28.17653558468575,2.8827214748616825e-06,2.8827214748616825e-06
64,28.3832950592041,28.383291951697537,3.1075065649588396e-06,3.1075065649588396e-06
65,28.40679931640625,28.406795516349643,3.8000566071616504e-06,3.8000566071616504e-06
66,28.614700317382812,28.614698020089985,2.297292827080355e-06,2.297292827080355e-06
67,28.631542205810547,28.631540311089193,1.8947213540343455e-06,1.8947213540343455e-06
68,29.014148712158203,29.014147331746983,1.380411219997768e-06,1.380411219997768e-06
69,29.128877639770508,29.128877236859253,4.0291125458224997e-07,4.0291125458224997e-07
70,29.38375473022461,29.38375225211863,2.4781059799749983e-06,2.4781059799749983e-06
71,29.681610107421875,29.681608287851006,1.8195708690882384e-06,1.8195708690882384e-06
72,29.915319442749023,29.91531898686911,4.5587991337470157e-07,4.5587991337470157e-07
73,30.307437896728516,30.30743490295632,2.993772195480915e-06,2.993772195480915e-06
74,30.436031341552734,30.4360308775513,4.640014346080079e-07,4.640014346080079e-07
75,30.716337203979492,30.716336503180404,7.007990880936177e-07,7.007990880936177e-07
76,30.82840347290039,30.828402270200378,1.202700012470359e-06,1.202700012470359e-06
77,31.30096435546875,31.300965386299392,-1.0308306421791258e-06,1.0308306421791258e-06
78,31.603139877319336,31.6031392459188,6.314005354113306e-07,6.314005354113306e-07
79,31.78465461730957,31.7846511282801,3.489029470671312e-06,3.489029470671312e-06
80,32.09412384033203,32.0941210952933,2.7450387278804556e-06,2.7450387278804556e-06
81,32.18111801147461,32.18111559725878,2.4142158281392767e-06,2.4142158281392767e-06
82,32.56888198852539,32.568879797297576,2.1912278143076946e-06,2.1912278143076946e-06
83,32.65473175048828,32.65473112468336,6.258049225493778e-07,6.258049225493778e-07
84,32.69614791870117,32.696144398507045,3.5201941273044213e-06,3.5201941273044213e-06
85,32.904788970947266,32.90478688899667,2.0819505976987784e-06,2.0819505976987784e-06
86,33.21202850341797,33.212027154179474,1.3492384951518943e-06,1.3492384951518943e-06
87,33.422786712646484,33.42278645210256,2.605439277658661e-07,2.605439277658661e-07
88,33.55076217651367,33.55076197349195,2.030217203241591e-07,2.030217203241591e-07
89,33.888492584228516,33.88848855628814,4.027940377682171e-06,4.027940377682171e-06
90,34.357391357421875,34.35738764123369,3.716188182067981e-06,3.716188182067981e-06
91,34.35329818725586,34.353295035154375,3.1521014847157858e-06,3.1521014847157858e-06
92,34.71672821044922,34.71672411864068,4.091808541772934e-06,4.091808541772934e-06
93,34.87062072753906,34.87061817044984,2.557089224808351e-06,2.557089224808351e-06
94,35.17789077758789,35.17788849771765,2.2798702374871027e-06,2.2798702374871027e-06
95,35.188232421875,35.18822644031653,5.98155847342241e-06,5.98155847342241e-06
96,35.36310577392578,35.3631036133429,2.1605828806059435e-06,2.1605828806059435e-06
97,35.464637756347656,35.464633406778844,4.34956881179005e-06,4.34956881179005e-06
98,35.614749908447266,35.61474515035555,4.758091712631085e-06,4.758091712631085e-06
